,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-37.02,84,68,1.64,RU,1610598922
1,tosya,41.0155,34.0401,3.23,82,100,1.37,TR,1610598922
2,adre,13.4667,22.2,16.47,30,0,6.83,TD,1610598922
3,kodiak,57.79,-152.4072,-1,86,1,3.57,US,1610598923
4,sault sainte marie,46.5168,-84.3333,0,93,90,2.06,CA,1610598637
5,broome,42.2506,-75.833,-1,80,1,2.57,US,1610598923
6,guaruja,-23.9931,-46.2564,25,26,99,1.47,BR,1610598923
7,palabuhanratu,,,,,,,,
8,ostrovnoy,68.0531,39.5131,-16.26,93,77,10.35,RU,1610598924
9,port alberni,49.2413,-124.8028,2.78,93,68,0.96,CA,1610598925
10,yerkoy,39.6381,34.4672,3.14,84,96,1.48,TR,1610598925
11,anloga,5.7947,0.8973,26,89,20,2.57,GH,1610598925
12,caravelas,-17.7125,-39.2481,22.87,88,0,0.98,BR,1610598925
13,grand centre,,,,,,,,
14,grindavik,63.8424,-22.4338,3,87,20,6.17,IS,1610598926
15,lorengau,-2.0226,147.2712,30.06,65,89,4.4,PG,1610598926
16,albox,37.3886,-2.1495,4.44,64,0,0.45,ES,1610598926
17,chantada,42.6088,-7.7712,4,87,75,2.57,ES,1610598926
18,rio gallegos,-51.6226,-69.2181,10,66,0,2.06,AR,1610598927
19,pangkalanbuun,-2.6833,111.6167,25.01,94,100,1.49,ID,1610598927
20,paamiut,61.994,-49.6678,-5.99,94,100,1.61,GL,1610598927
21,talavera de la reina,39.9635,-4.8308,-1.1,95,41,0.6,ES,1610598927
22,saleaula,,,,,,,,
23,mahebourg,-20.4081,57.7,27,78,40,5.14,MU,1610598928
24,nhulunbuy,-12.2333,136.7667,26,94,75,4.63,AU,1610598647
25,puerto colombia,10.9878,-74.9547,26,83,20,2.57,CO,1610598928
26,kjopsvik,68.097,16.3742,-1.11,80,90,1.03,NO,1610598928
27,ponta do sol,32.6667,-17.1,11.11,57,96,1.34,PT,1610598929
28,boa vista,2.8197,-60.6733,26,73,0,5.66,BR,1610598929
29,ossora,59.2353,163.0719,-22.68,87,100,1.78,RU,1610598929
30,atuona,-9.8,-139.0333,25.43,76,30,4.96,PF,1610598929
31,lubango,-14.9172,13.4925,12.96,56,100,2,AO,1610598929
32,padang,-0.9492,100.3543,30,62,20,0.51,ID,1610598708
33,victoria,22.2855,114.1577,18.33,35,23,0.89,HK,1610598840
34,hagere selam,6.4833,38.5167,11.1,73,90,1.56,ET,1610598930
35,iqaluit,63.7506,-68.5145,-28,76,1,1.54,CA,1610598930
36,newtownards,54.5924,-5.6909,9,87,100,5.66,GB,1610598931
37,gizo,-8.103,156.8419,29.75,70,82,6.11,SB,1610598931
38,henties bay,-22.116,14.2845,20.56,87,100,2.98,NA,1610598931
39,san ramon de la nueva oran,-23.1322,-64.326,23.89,90,92,1.13,AR,1610598931
40,wasilla,61.5814,-149.4394,-0.56,59,90,3.09,US,1610598931
41,ha giang,22.8333,104.9833,22.58,30,0,1.15,VN,1610598774
42,mar del plata,-38.0023,-57.5575,18.33,55,0,4.63,AR,1610598932
43,zhigansk,66.7697,123.3711,-39.89,79,82,5.02,RU,1610598932
44,kortkeros,61.8106,51.5806,-36,75,2,2,RU,1610598932
45,hunza,,,,,,,,
46,thompson,55.7435,-97.8558,-3,100,90,2.06,CA,1610598636
47,vaitupu,,,,,,,,
48,saldanha,-33.0117,17.9442,17,82,0,2.57,ZA,1610598635
49,mandera,3.9366,41.867,25.59,31,13,4.68,KE,1610598933
50,puerto ayora,-0.7393,-90.3518,23.89,94,98,1.34,EC,1610598918
51,tongzi,28.7829,105.0877,12.87,50,0,1.17,CN,1610598934
52,iskateley,67.6803,53.1512,-23.71,85,91,5.26,RU,1610598934
53,mogadishu,2.0371,45.3438,24.96,77,1,8.78,SO,1610598934
54,bridlington,54.0831,-0.1919,1.11,89,100,2.68,GB,1610598670
55,rungata,,,,,,,,
56,krasnyy chikoy,50.3643,108.7512,-17.66,85,48,3.36,RU,1610598935
57,pine bluff,34.2284,-92.0032,6,56,1,2.57,US,1610598936
58,hermanus,-34.4187,19.2345,21.11,87,87,2.24,ZA,1610598936
59,ontario,34.0633,-117.6509,17,27,40,1.54,US,1610598936
60,mackay,-21.15,149.2,30.56,69,23,7.72,AU,1610598647
61,vrangel,42.7297,133.0839,-7.24,78,3,6.71,RU,1610598937
62,nanortalik,60.1432,-45.2371,-1.84,94,100,4.79,GL,1610598937
63,selty,57.3132,52.1345,-20.44,91,100,3.76,RU,1610598937
64,kousseri,12.0769,15.0306,15,33,38,2.06,CM,1610598937
65,kenai,60.5544,-151.2583,-2.22,86,90,2.57,US,1610598938
66,hirara,24.8,125.2833,21,49,40,5.14,JP,1610598938
67,sentyabrskiy,,,,,,,,
68,afanasyevo,,,,,,,,
69,hazro,33.9091,72.4921,12.75,33,77,0.72,PK,1610598939
70,ternate,0.8,127.4,29.71,67,100,2.5,ID,1610598649
71,havre-saint-pierre,50.2334,-63.5986,-6,86,90,3.09,CA,1610598939
72,brae,60.3964,-1.353,4,65,75,8.75,GB,1610598940
73,guilin,25.2819,110.2864,16,39,0,1,CN,1610598762
74,azimur,,,,,,,,
75,mbala,-8.8402,31.3659,15.66,100,100,1.86,ZM,1610598941
76,radford,37.1318,-80.5764,0,69,1,4.12,US,1610598941
77,fiumicino,41.7675,12.2291,5,93,40,4.63,IT,1610598941
78,illoqqortoormiut,,,,,,,,
79,fuerte olimpo,-21.0415,-57.8738,23.14,91,100,1.11,PY,1610598942
80,dakar,14.6937,-17.4441,18,88,0,4.12,SN,1610598942
81,axim,4.8699,-2.2405,25.74,86,100,2.93,GH,1610598942
82,praxedis guerrero,31.3667,-106.0167,11,21,1,3.6,MX,1610598943
83,jingdezhen,29.2947,117.2079,17,29,0,1.78,CN,1610598710
84,flinders,-34.5833,150.8552,32.78,61,16,1.34,AU,1610598943
85,dzerzhinsk,56.2389,43.4631,-16.67,85,90,6,RU,1610598943
86,beringovskiy,63.05,179.3167,-24.01,89,100,4,RU,1610598943
87,yomitan,,,,,,,,
88,sept-iles,50.2001,-66.3821,-5,93,100,1.03,CA,1610598944
89,honiara,-9.4333,159.95,29.65,64,99,2.65,SB,1610598876
90,vanavara,60.34,102.2797,-19.96,90,100,5.95,RU,1610598944
91,babanusah,,,,,,,,
92,torbay,47.6666,-52.7314,-0.56,93,90,3.6,CA,1610598945
93,tilichiki,60.4667,166.1,-31.58,85,2,3.55,RU,1610598945
94,komsomolskiy,40.4272,71.7189,1,69,0,1.03,UZ,1610598945
95,jalu,29.0331,21.5482,10.8,67,44,7.13,LY,1610598945
96,tocopilla,-22.092,-70.1979,19.04,67,35,1.59,CL,1610598946
97,hamilton,39.1834,-84.5333,4.44,65,90,4.12,US,1610598946
98,yorosso,12.3536,-4.7761,19.09,23,0,3.17,ML,1610598946
99,ahuimanu,21.4447,-157.8378,26,69,75,5.14,US,1610598946
100,tasiilaq,65.6145,-37.6368,2,69,75,5.4,GL,1610598947
101,tautira,-17.7333,-149.15,30,62,20,1.54,PF,1610598947
102,okha,53.5739,142.9478,-19.4,87,100,5.36,RU,1610598947
103,abu dhabi,24.4667,54.3667,15,82,0,2.57,AE,1610598732
104,qaanaaq,77.484,-69.3632,-18.93,77,21,1.66,GL,1610598935
105,acapulco,16.8634,-99.8901,25.2,68,22,1.07,MX,1610598940
106,pocosol,10.3667,-84.6167,21,68,0,3.09,CR,1610598948
107,kosh-agach,50,88.6667,-21.48,82,99,0.45,RU,1610598948
108,seymchan,62.8833,152.4333,-35.13,81,100,0.63,RU,1610598948
109,belmonte,-15.8631,-38.8828,25,78,75,3.6,BR,1610598949
110,belle fourche,44.6714,-103.8522,5,35,75,16.46,US,1610598704
111,yarkovo,57.4028,67.0786,-27.89,87,0,2.6,RU,1610598949
112,sadiqabad,28.3062,70.1307,22.64,15,98,0.82,PK,1610598949
113,fasa,28.9383,53.6482,-1,47,0,2.06,IR,1610598950
114,cockburn town,21.4612,-71.1419,25.23,79,7,8.42,TC,1610598950
115,totness,5.8833,-56.3167,24.32,86,75,3.81,SR,1610598950
